domain,creation_date,expiration_date,lock_state,privacy,status,hosting_plan
10k.net,2019-10-22,2025-09-01,1,1,active,Basic
3dgraphic.com,2001-08-14,2025-08-20,1,1,active,Basic
3dimage.com,2001-09-04,2026-02-24,1,1,active,Basic
3dimage.net,2001-09-04,2026-03-04,1,1,active,Basic
5kw.com,2005-10-20,2026-05-22,1,1,active,Basic
5kw.org,2019-10-22,2026-02-01,1,1,active,Basic
adventureweb.net,2002-06-23,2025-06-08,1,1,active,Basic
aerialimagery.com,2001-09-04,2026-03-10,1,1,active,Basic
aerialphotography.net,2001-09-04,2026-03-10,1,1,active,Basic
alqaida.net,2002-10-30,2025-10-30,1,1,active,Basic
andriodapps.com,2011-01-05,2026-01-30,1,1,active,Basic
androids.net,2001-09-04,2026-05-11,1,1,active,Basic
animatronic.net,2002-01-31,2026-02-16,1,1,active,Basic
armyrugby.com,2024-08-03,2025-11-08,1,1,active,Basic
arthritisweb.com,2011-01-05,2025-07-08,1,1,active,Basic
audioevents.com,2011-01-05,2026-01-21,1,1,active,Basic
audiogear.net,2001-09-04,2026-03-13,1,1,active,Basic
band-width.net,2001-08-14,2025-08-15,1,1,active,Basic
band-width.org,2001-09-04,2026-04-07,1,1,active,Basic
base-ball.org,2001-08-14,2025-09-25,1,1,active,Basic
beerbong.net,2002-12-06,2025-12-06,1,1,active,Basic
beerbong.us,2002-05-20,2026-05-19,1,0,active,Basic
beerbongs.net,2002-12-06,2025-12-06,1,1,active,Basic
beerbongs.us,2002-05-20,2026-05-19,1,0,active,Basic
betasolutions.com,2001-11-25,2026-01-11,1,1,active,Basic
bicyclequest.com,2007-01-15,2026-04-12,1,1,active,Basic
biochips.net,2001-11-25,2025-11-30,1,1,active,Basic
biological-computers.com,2001-09-04,2026-04-22,1,1,active,Basic
biologicalcomputer.net,2003-02-06,2026-02-06,1,1,active,Basic
biologicalcomputers.com,2001-08-14,2025-09-19,1,1,active,Basic
biologicalcomputing.net,2001-09-04,2026-04-22,1,1,active,Basic
biologicalcomputing.org,2001-09-04,2026-04-22,1,1,active,Basic
biomasshydrogen.com,2009-11-14,2026-03-08,1,1,active,Basic
biooptics.com,2009-01-10,2026-03-28,1,1,active,Basic
biotec.net,2001-08-14,2025-10-16,1,1,active,Basic
bloggernaut.com,2006-02-13,2025-09-29,1,1,active,Basic
broad-band.org,2001-09-04,2026-04-07,1,1,active,Basic
buildingdoc.com,2011-08-24,2025-07-02,1,1,active,Basic
buildingdocs.com,2005-10-20,2025-07-07,1,1,active,Basic
buynotes.com,2006-02-13,2025-09-07,1,1,active,Basic
cable-net.net,2001-08-14,2025-11-12,1,1,active,Basic
cableaccess.com,2001-09-04,2025-07-11,1,1,active,Basic
cablebroadband.net,2001-09-04,2026-02-13,1,1,active,Basic
cableweb.net,2001-09-04,2026-03-25,1,1,active,Basic
callquest.com,2005-10-20,2025-08-08,1,1,active,Basic
carbonnanotech.com,2009-01-10,2025-08-10,1,1,active,Basic
carlos.biz,2004-05-08,2026-01-22,1,1,active,Basic
carputers.com,2001-09-04,2026-05-25,1,1,active,Basic
cellulartelephony.com,2001-09-04,2026-03-22,1,1,active,Basic
charlottesweb.net,2001-11-25,2025-12-14,1,1,active,Basic
chefcity.com,2006-02-13,2025-08-01,1,1,active,Basic
choicenames.com,2001-11-21,2026-01-10,1,1,active,Basic
choicenames.net,2009-11-14,2026-04-13,1,1,active,Basic
choicenames.us,2002-05-20,2026-05-19,1,0,active,Basic
chronomics.net,2003-08-11,2025-08-11,1,1,active,Basic
classreunion.net,2001-11-25,2026-01-26,1,1,active,Basic
clicktronics.com,2005-10-20,2025-06-29,1,1,active,Basic
compuphone.com,2001-09-04,2026-03-10,1,1,active,Basic
compuporn.com,2005-05-11,2026-03-30,1,1,active,Basic
computeranimation.net,2001-09-06,2025-08-01,1,1,active,Basic
cookiequest.com,2007-01-15,2026-03-20,1,1,active,Basic
cradlecam.com,2001-09-04,2026-05-18,1,1,active,Basic
craftsmatic.com,2005-10-20,2026-05-04,1,1,active,Basic
cryptology.net,2001-09-04,2026-05-19,1,1,active,Basic
crystology.com,2005-05-09,2026-03-31,1,1,active,Basic
culturedpearls.info,2005-01-09,2026-04-10,1,1,active,Basic
cyber-cast.com,2003-02-06,2026-02-06,1,1,active,Basic
cyber-space.net,2001-09-04,2026-03-26,1,1,active,Basic
cyberamerican.com,2001-11-25,2026-01-20,1,1,active,Basic
cyberappliance.net,2001-09-04,2026-02-17,1,1,active,Basic
cyberary.net,2001-09-04,2026-03-25,1,1,active,Basic
cyberbet.net,2001-08-14,2025-09-23,1,1,active,Basic
cyberblaze.com,2005-10-20,2026-05-11,1,1,active,Basic
cyberbuys.net,2001-09-04,2026-03-04,1,1,active,Basic
cybercall.net,2001-09-04,2026-03-10,1,1,active,Basic
cyberchair.net,2001-09-04,2026-04-08,1,1,active,Basic
cyberchondria.net,2004-02-15,2026-02-15,1,1,active,Basic
cyberclassic.com,2016-07-02,2026-01-10,1,1,active,Basic
cybercondria.com,2005-10-20,2026-05-06,1,1,active,Basic
cyberdynamics.com,2001-09-07,2025-08-08,1,1,active,Basic
cyberetech.com,2006-02-13,2025-12-24,1,1,active,Basic
cyberfare.com,2009-11-13,2026-05-06,1,1,active,Basic
cyberfreak.com,2009-11-13,2025-07-21,1,1,active,Basic
cyberfucker.com,2006-02-13,2025-11-21,1,1,active,Basic
cybergistic.com,2006-02-13,2025-10-10,1,1,active,Basic
cybergrocer.com,2001-11-25,2026-01-20,1,1,active,Basic
cybergroceries.net,2001-09-04,2026-04-04,1,1,active,Basic
cyberics.com,2005-10-20,2025-06-23,1,1,active,Basic
cyberistics.com,2006-02-13,2025-09-12,1,1,active,Basic
cyberlectric.com,2001-09-04,2026-05-18,1,1,active,Basic
cyberlectric.net,2001-11-25,2025-12-11,1,1,active,Basic
cybermama.com,2011-08-24,2025-07-04,1,1,active,Basic
cybermatic.net,2001-11-25,2026-01-27,1,1,active,Basic
cyberology.net,2001-09-04,2026-05-18,1,1,active,Basic
cyberorders.net,2001-09-04,2026-04-04,1,1,active,Basic
cyberpad.net,2001-11-25,2025-12-18,1,1,active,Basic
cybersavers.net,2001-11-25,2026-01-14,1,1,active,Basic
cyberserk.com,2001-08-14,2025-11-12,1,1,active,Basic
cyberspace1.com,2001-09-04,2026-04-02,1,1,active,Basic
cybervacations.com,2001-11-25,2026-01-21,1,1,active,Basic
cybervoodoo.com,2001-09-04,2026-02-09,1,1,active,Basic
cybervoyeur.com,2009-11-13,2026-05-15,1,1,active,Basic
cyberz.com,2009-11-13,2026-04-04,1,1,active,Basic
data-cast.com,2001-09-04,2026-02-04,1,1,active,Basic
databot.net,2001-08-14,2025-09-25,1,1,active,Basic
dataencryption.net,2001-08-14,2025-09-19,1,1,active,Basic
dayquest.com,2006-02-13,2025-10-08,1,1,active,Basic
daytonasuperbird.com,2006-02-13,2025-08-29,1,1,active,Basic
dentalstemcells.com,2007-01-15,2026-03-13,1,1,active,Basic
dentilab.com,2011-01-05,2026-05-02,1,1,active,Basic
